iter	RMSE
0	9.443216599
1	9.434544224
2	9.426523647
3	9.419315114
4	9.412809183
5	9.406787474
6	9.401069289
7	9.395843744
8	9.390916823
9	9.386514521
10	9.382400565
11	9.378632657
12	9.375146702
13	9.372063284
14	9.369073075
15	9.366286069
16	9.363787592
17	9.361312268
18	9.359003724
19	9.35689114
20	9.354896935
21	9.352987218
22	9.351258079
23	9.349636762
24	9.348100776
25	9.3467201
26	9.344772757
27	9.343270626
28	9.341987984
29	9.340782016
30	9.339651116
31	9.338610685
32	9.337587803
33	9.336645618
34	9.335430453
35	9.334504086
36	9.333087688
37	9.332187601
38	9.330855314
39	9.330069273
40	9.328859799
41	9.327656064
42	9.326866806
43	9.325808898
44	9.324776095
45	9.323811321
46	9.323023048
47	9.322396576
48	9.320994069
49	9.319682469
50	9.318722412
51	9.317904205
52	9.316989209
53	9.316358396
54	9.315433084
55	9.314651316
56	9.31398427
57	9.313375229
58	9.312236736
59	9.311593136
60	9.310756586
61	9.310038405
62	9.30937431
63	9.308907052
64	9.308148036
65	9.307342355
66	9.306584525
67	9.30606625
68	9.305523655
69	9.304892722
70	9.303759101
71	9.303169091
72	9.302502206
73	9.301724606
74	9.30084743
75	9.300325879
76	9.299705433
77	9.2992482
78	9.298815254
79	9.298302131
80	9.297634897
81	9.296997186
82	9.296564464
83	9.296091305
84	9.295417669
85	9.29458525
86	9.294128752
87	9.293424406
88	9.292574058
89	9.291928438
90	9.291154885
91	9.290552566
92	9.289879515
93	9.289370173
94	9.288768726
95	9.288164937
96	9.287332197
97	9.286871725
98	9.286258603
99	9.285703008
100	9.285242783
101	9.28469634
102	9.284025496
103	9.283358552
104	9.282457592
105	9.281943236
106	9.281537128
107	9.281174445
108	9.280641586
109	9.280119558
110	9.279595526
111	9.279043812
112	9.278708357
113	9.278206303
114	9.277466835
115	9.277144822
116	9.276672649
117	9.275979161
118	9.275685089
119	9.275182212
120	9.274781078
121	9.274001483
122	9.273615449
123	9.273269585
124	9.272791285
125	9.272307359
126	9.27197726
127	9.271599708
128	9.271189852
129	9.27091309
130	9.270427748
131	9.269942051
132	9.269658661
133	9.268850294
134	9.268490081
135	9.268122274
136	9.267762363
137	9.26707546
138	9.266686171
139	9.266080614
140	9.26564447
141	9.265071814
142	9.264853885
143	9.264360313
144	9.263925736
145	9.263508286
146	9.262988261
147	9.262555928
148	9.262204046
149	9.261309933
150	9.260891375
151	9.26033063
152	9.259991198
153	9.259541242
154	9.259295472
155	9.258597384
156	9.258029241
157	9.25772338
158	9.257284202
159	9.256898131
160	9.256432184
161	9.255946083
162	9.255493289
163	9.255064237
164	9.254686655
165	9.254269778
166	9.25387797
167	9.253406259
168	9.252918348
169	9.252584917
170	9.252274584
171	9.251856938
172	9.251536675
173	9.251183053
174	9.250794085
175	9.250405432
176	9.249971851
177	9.249484089
178	9.249191155
179	9.248877406
180	9.248526654
181	9.248292151
182	9.247737579
183	9.247277777
184	9.24676708
185	9.246294015
186	9.245897243
187	9.245432394
188	9.244953644
189	9.244619926
190	9.244240925
191	9.243912798
192	9.243550623
193	9.243234038
194	9.242830855
195	9.242569769
196	9.242270998
197	9.241800678
198	9.241362065
199	9.240970701
200	9.240587254
201	9.240382632
202	9.239978995
203	9.239592201
204	9.239258619
205	9.238826498
206	9.238496857
207	9.238154308
208	9.23782894
209	9.237447347
210	9.23697612
211	9.236484696
212	9.236026979
213	9.235682685
214	9.235398906
215	9.235196153
216	9.234884244
217	9.234413878
218	9.23413006
219	9.233842263
220	9.233647747
221	9.23335001
222	9.232727378
223	9.232444831
224	9.232115954
225	9.231840337
226	9.231600778
227	9.231171939
228	9.230821838
229	9.230306259
230	9.229908469
231	9.229546406
232	9.229201208
233	9.228988059
234	9.228670313
235	9.228378042
236	9.227909001
237	9.227587576
238	9.227353865
239	9.226883447
240	9.226702358
241	9.226432207
242	9.225699847
243	9.225402516
244	9.224981998
245	9.224399532
246	9.224161105
247	9.223872666
248	9.223531561
249	9.22294238
250	9.222583686
251	9.22226042
252	9.221858639
253	9.221505535
254	9.221251794
255	9.220856595
256	9.220558777
257	9.220277513
258	9.219961455
259	9.219803421
260	9.219363762
261	9.219051648
262	9.218654035
263	9.218288216
264	9.218052282
265	9.217849479
266	9.217621155
267	9.217388518
268	9.217181061
269	9.216907649
270	9.216708135
271	9.21631937
272	9.215907718
273	9.215649184
274	9.21522358
275	9.214950441
276	9.214491323
277	9.214096166
278	9.213781884
279	9.213499088
280	9.213210646
281	9.212958667
282	9.212691097
283	9.212290226
284	9.211928133
285	9.211735144
286	9.211510979
287	9.211154162
288	9.210946565
289	9.210608629
290	9.210308821
291	9.210051124
292	9.209644831
293	9.209402705
294	9.209233544
295	9.208952598
296	9.208673634
297	9.208436127
298	9.208032084
299	9.207730533
