iter	Passed	Remaining
0	72	72433
1	143	71742
2	215	71719
3	282	70246
4	347	69143
5	414	68621
6	478	67872
7	543	67376
8	609	67077
9	674	66746
10	741	66677
11	807	66488
12	869	66039
13	936	65952
14	998	65549
15	1065	65511
16	1134	65593
17	1197	65320
18	1260	65062
19	1327	65029
20	1395	65057
21	1455	64718
22	1514	64342
23	1579	64237
24	1645	64191
25	1708	63987
26	1768	63724
27	1829	63522
28	1893	63403
29	1952	63139
30	2011	62885
31	2080	62924
32	2139	62680
33	2200	62513
34	2260	62331
35	2323	62212
36	2384	62058
37	2444	61895
38	2511	61886
39	2574	61777
40	2634	61629
41	2694	61448
42	2757	61379
43	2817	61217
44	2876	61044
45	2937	60927
46	3004	60928
47	3067	60837
48	3126	60674
49	3186	60542
50	3248	60441
51	3310	60349
52	3375	60320
53	3442	60312
54	3502	60174
55	3562	60048
56	3623	59940
57	3686	59877
58	3747	59771
59	3814	59764
60	3871	59595
61	3935	59536
62	3997	59453
63	4056	59324
64	4120	59276
65	4179	59144
66	4240	59055
67	4300	58941
68	4361	58850
69	4420	58734
70	4478	58601
71	4537	58486
72	4598	58390
73	4658	58295
74	4724	58268
75	4787	58205
76	4845	58078
77	4904	57970
78	4965	57890
79	5025	57794
80	5084	57683
81	5147	57623
82	5204	57497
83	5269	57463
84	5335	57434
85	5400	57401
86	5469	57396
87	5528	57292
88	5589	57212
89	5646	57095
90	5705	56994
91	5764	56893
92	5827	56836
93	5894	56812
94	5953	56716
95	6012	56621
96	6074	56548
97	6130	56426
98	6196	56395
99	6256	56306
100	6315	56213
101	6380	56177
102	6443	56114
103	6507	56061
104	6568	55987
105	6626	55891
106	6685	55798
107	6743	55697
108	6806	55642
109	6868	55573
110	6935	55545
111	6993	55449
112	7055	55386
113	7115	55298
114	7176	55225
115	7240	55180
116	7303	55117
117	7360	55017
118	7421	54945
119	7488	54912
120	7550	54848
121	7616	54813
122	7679	54755
123	7739	54673
124	7800	54606
125	7859	54519
126	7920	54446
127	7982	54382
128	8045	54321
129	8106	54249
130	8173	54220
131	8232	54133
132	8290	54041
133	8348	53955
134	8407	53870
135	8462	53761
136	8523	53692
137	8582	53612
138	8641	53525
139	8701	53452
140	8760	53371
