,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
4938658,78,453,430,0.0,0,1.001655,2250115.18,1.001655,1.001655,1.000502,106885.52,1.001655,104245.24,1.001086,3.1399727,24958,453_430_78
4757808,28,437,190,8921539.06,1,1.000342,7209648.13,,,1.000413,7658.82,1.000695,31778.88,1.000467,1.1599064,24054,437_190_28
4761151,171,437,350,1450128.14,-1,0.998695,36165495.87,0.987568,0.995824,0.998695,14023.8,0.998785,16585.19,0.998736,2.720356,24070,437_350_171
1504889,134,140,210,5864.92,1,0.999096,7371914.27,,,0.998409,70848.28,0.999096,81874.74,0.998728,-1.0800362,7721,140_210_134
3283190,155,303,150,1878310.98,-1,0.999844,1576420.81,,,0.999635,4966.0,1.000054,764.32,0.999998,3.989935,16680,303_150_155
2931620,76,271,110,86580.29,1,1.00098,2048593.74,,,1.0006,13570.8,1.00098,10971.27,1.00081,-2.0700693,14916,271_110_76
2416900,170,224,90,2841637.53,1,1.001381,6043732.31,,,1.001097,28280.0,1.001381,7072.0,1.001324,8.829832,12329,224_90_170
2104969,71,195,370,671364.82,-1,0.999816,39498838.22,0.995392,0.999143,0.999784,71114.34,1.00113,17490.2,1.000864,-9.570122,10762,195_370_71
2878787,178,266,200,3608847.7,1,1.001089,11586020.81,,,1.000844,13747.44,1.001089,13096.0,1.00097,-24.639965,14650,266_200_178
1495016,111,139,260,39999.47,1,0.999368,1407680.26,,,0.99873,30411.72,0.999368,16390.82,0.999144,6.610155,7671,139_260_111
1653896,10,154,80,4171457.12,1,0.99994,5416943.58,,,0.999338,116277.0,1.000361,33256.0,1.000134,-1.8799305,8478,154_80_10
1722027,179,160,230,46521357.59,1,0.99945,437677437.38,,,0.999404,5636.8,0.999496,38593.96,0.999416,-8.990169,8823,160_230_179
1338269,121,125,0,1987276.16,1,1.000003,20968853.38,,,0.999739,357906.45,1.000003,3985.8,1.0,-0.79989433,6875,125_0_121
4182008,28,385,0,0.0,0,0.999973,8327883.82,,,0.99984,22452.0,1.000107,14972.0,1.0,8.239746,21175,385_0_28
767258,133,72,120,2817641.7,1,0.999436,25887543.95,,,0.999208,35083.0,0.999436,1403.64,0.999427,0.51021576,3972,72_120_133
647477,7,61,40,607894.79,1,1.000706,55358360.42,,,1.000147,55473.0,1.000706,49398.56,1.000443,4.7397614,3359,61_40_7
4277843,63,393,390,1199790.0,1,1.002681,14410651.28,1.031144,1.018921,1.002506,52243.1,1.002681,40194.0,1.002605,-0.56028366,21654,393_390_63
4363557,177,401,270,1184909.94,-1,1.000189,2205814.51,,,0.99998,8833.84,1.001595,11541.0,1.000681,-54.29983,22082,401_270_177
2601086,81,241,0,4678556.98,1,1.001216,14871331.21,,,0.99919,16057.38,1.002315,46071.2,1.0,0.9894371,13255,241_0_81
2943182,96,272,140,10399502.19,-1,0.99891,58318703.81,,,0.99891,14157.0,0.999122,24544.0,0.998988,-12.969971,14974,272_140_96
66127,110,6,150,44878.18,1,0.999158,19432823.37,,,0.999088,16330.5,0.999158,5730.4,0.99914,-5.609989,345,6_150_110
5035498,118,462,320,160532.12,1,0.999938,25621177.51,1.000082,1.000082,0.999492,17549.28,0.999938,40130.56,0.999628,13.63039,25442,462_320_118
4189421,41,385,370,37217055.5,1,1.004487,428477556.4,1.040754,1.011287,1.0044,20276.96,1.004487,68671.12,1.00442,-9.800196,21212,385_370_41
5066739,159,465,230,2670669.9,-1,0.9992,22179822.3,,,0.999099,20895.33,0.999705,25168.86,0.999374,2.1898746,25598,465_230_159
3979530,150,366,320,0.0,0,1.000104,41445871.43,1.000104,1.000104,1.000104,69667.99,1.000386,73945.53,1.000241,-6.65009,20162,366_320_150
1641442,167,152,540,113662.89,-1,1.001127,12463667.5,1.000735,1.000735,1.000833,920.7,1.00142,4913.28,1.000926,10.830164,8414,152_540_167
